Age,Gender,Occupation,Country,Severity,Consultation_History,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours
48,Prefer not to say,Sales,Australia,None,Yes,High,9.7,52,4
34,Female,Engineering,Canada,None,No,High,6.5,41,7
58,Non-binary,Engineering,India,None,Yes,Medium,7.2,45,2
53,Non-binary,Engineering,Australia,None,No,Medium,6.4,55,5
54,Male,IT,Australia,Low,Yes,High,6.0,31,3
52,Male,Engineering,Australia,None,Yes,High,9.5,40,2
28,Male,Finance,USA,None,No,Low,8.3,80,9
26,Non-binary,Other,Canada,High,No,High,6.1,71,1
45,Non-binary,Engineering,UK,Medium,No,Low,8.5,78,6
34,Female,Sales,UK,High,Yes,Medium,10.0,34,7
62,Male,Other,Germany,None,No,High,7.6,64,10
27,Male,Other,USA,None,Yes,Medium,5.4,43,2
56,Female,Healthcare,Other,Medium,Yes,Low,7.5,31,4
31,Female,Finance,Australia,High,No,Medium,8.3,66,4
61,Non-binary,Education,Other,None,Yes,Low,7.8,72,6
58,Non-binary,Finance,UK,High,No,Medium,5.1,35,2
60,Prefer not to say,Other,Australia,None,No,Medium,7.6,42,4
54,Female,Healthcare,Germany,High,Yes,Low,8.1,47,4
52,Prefer not to say,Healthcare,Australia,None,No,Low,6.9,67,9
39,Prefer not to say,Finance,Australia,High,No,Medium,9.1,49,4
65,Female,Healthcare,Other,None,Yes,Low,5.8,42,1
54,Prefer not to say,Sales,Canada,None,Yes,Medium,8.6,59,6
52,Female,IT,Australia,None,Yes,Medium,8.1,46,2
59,Male,Other,Germany,Low,Yes,High,9.9,47,5
46,Female,Healthcare,UK,Low,Yes,Low,8.6,59,4
33,Female,Healthcare,Other,None,No,Low,7.0,60,8
60,Female,Sales,UK,Low,No,Low,9.3,66,10
18,Non-binary,Other,USA,None,Yes,High,4.6,47,0
21,Non-binary,Engineering,Other,None,No,Medium,6.0,53,4
38,Non-binary,Engineering,India,None,Yes,High,5.8,80,1
44,Male,Other,India,Medium,No,High,5.3,70,9
19,Non-binary,Engineering,Australia,High,No,High,9.1,53,10
43,Female,Engineering,UK,Low,Yes,Medium,8.5,49,10
22,Female,Engineering,Germany,Medium,No,High,9.1,34,3
43,Female,IT,Canada,None,No,Low,8.8,66,6
20,Prefer not to say,Other,USA,None,Yes,Medium,7.5,33,10
44,Female,Healthcare,Germany,None,No,Low,9.5,69,9
60,Non-binary,Finance,Canada,Medium,No,High,9.8,58,5
45,Female,Healthcare,India,Medium,No,Medium,8.6,55,1
26,Female,Education,USA,None,Yes,High,9.8,52,7
39,Male,Finance,Australia,Medium,Yes,Medium,7.8,42,6
49,Female,Other,USA,Medium,No,High,9.8,70,10
25,Female,Healthcare,Australia,None,No,Low,4.5,35,3
31,Prefer not to say,Healthcare,USA,None,No,Low,4.8,70,2
20,Male,Sales,UK,High,Yes,Medium,7.7,50,10
53,Female,Sales,USA,None,No,High,8.6,78,1
38,Non-binary,Sales,Canada,Medium,Yes,Medium,6.7,51,4
44,Male,Engineering,Canada,None,No,High,4.6,59,5
20,Male,Engineering,Australia,None,No,High,9.4,31,8
42,Non-binary,Other,Australia,Medium,Yes,Medium,4.1,53,3
56,Female,IT,Other,Low,Yes,Medium,6.3,44,0
42,Prefer not to say,Other,UK,None,Yes,High,6.3,46,3
29,Female,Other,USA,High,No,High,5.8,59,3
58,Female,Other,India,None,Yes,Medium,7.0,39,0
59,Male,Finance,UK,Medium,No,High,8.4,66,10
42,Prefer not to say,Engineering,Canada,High,No,Low,9.1,78,9
43,Female,IT,UK,Low,No,Low,8.2,75,10
40,Prefer not to say,Sales,Germany,Low,No,Medium,8.7,30,9
64,Prefer not to say,Other,Germany,None,No,Low,6.4,79,4
54,Non-binary,Education,Germany,None,No,Low,8.7,74,7
43,Prefer not to say,Sales,Other,None,Yes,Medium,6.1,46,0
25,Male,IT,Australia,None,Yes,Medium,5.9,55,2
50,Male,Healthcare,Other,Medium,No,Low,6.9,50,5
41,Male,Education,Other,High,No,Low,5.9,46,4
31,Prefer not to say,Sales,Other,None,Yes,Medium,10.0,78,7
37,Non-binary,Other,Canada,High,Yes,Medium,9.0,35,4
28,Non-binary,IT,USA,None,Yes,Medium,4.7,69,7
21,Non-binary,Finance,UK,Low,No,Low,7.1,72,5
50,Prefer not to say,Sales,Australia,None,No,Low,4.2,33,4
51,Non-binary,Sales,Germany,High,No,Low,8.5,46,3
49,Female,Engineering,India,None,Yes,High,4.5,70,6
37,Female,Sales,Canada,Low,Yes,Low,5.0,37,1
55,Non-binary,Education,Canada,None,Yes,Medium,4.1,76,2
62,Female,Healthcare,Germany,Medium,Yes,Medium,5.7,31,6
37,Prefer not to say,Healthcare,Australia,None,Yes,Low,9.1,66,8
28,Male,Other,Germany,None,No,High,9.8,37,3
22,Male,Other,UK,Low,Yes,High,6.2,61,10
43,Prefer not to say,Sales,India,None,No,High,5.8,57,6
50,Female,Healthcare,USA,None,No,Medium,6.7,48,8
30,Prefer not to say,Education,Germany,None,Yes,Low,4.6,40,10
40,Male,Healthcare,Australia,None,Yes,Medium,7.3,33,5
47,Prefer not to say,Healthcare,UK,High,Yes,High,7.7,43,10
63,Male,Healthcare,USA,None,No,High,7.4,59,10
47,Non-binary,Healthcare,India,None,No,High,5.4,67,7
31,Male,Sales,Germany,None,Yes,Low,7.3,36,10
19,Non-binary,Engineering,UK,Medium,Yes,Medium,7.0,41,4
57,Female,Engineering,USA,Low,No,Medium,8.4,30,9
34,Female,Other,Australia,None,No,Medium,6.3,60,9
52,Female,Healthcare,Germany,None,No,High,6.8,49,2
65,Female,Sales,USA,None,Yes,High,6.7,63,10
30,Male,Sales,Australia,None,No,Low,9.7,77,3
63,Male,Finance,Other,None,Yes,High,4.4,48,8
61,Non-binary,Healthcare,India,None,No,Low,7.2,77,5
63,Prefer not to say,Sales,Germany,None,No,High,4.9,62,10
62,Male,Engineering,USA,Low,No,High,9.1,60,6
38,Prefer not to say,Finance,USA,None,Yes,Medium,4.0,62,10
63,Male,IT,USA,High,No,Low,10.0,73,3
62,Female,Healthcare,Australia,None,Yes,Low,8.1,33,9
55,Male,Education,Australia,None,No,High,9.3,61,9
60,Non-binary,Healthcare,India,Low,No,Medium,7.0,41,9
41,Female,Sales,USA,High,Yes,High,5.8,48,5
37,Female,Education,UK,None,No,Low,5.9,80,9
21,Non-binary,IT,Australia,None,No,High,8.5,40,6
32,Non-binary,Finance,Canada,Medium,Yes,High,4.7,64,6
58,Male,Education,Germany,Low,No,Low,4.6,52,4
32,Prefer not to say,Education,Germany,None,No,High,4.7,46,4
27,Prefer not to say,Sales,UK,Low,Yes,High,5.5,49,10
24,Female,Healthcare,Australia,High,Yes,High,7.6,43,0
22,Non-binary,IT,Other,High,No,High,4.7,45,7
42,Non-binary,IT,Other,None,Yes,Low,5.1,41,9
53,Male,Sales,UK,None,No,High,8.9,34,1
27,Prefer not to say,IT,India,High,Yes,High,4.7,35,6
62,Non-binary,IT,Germany,High,No,Low,4.8,64,6
46,Female,Education,India,Medium,No,Medium,5.6,36,6
19,Male,IT,UK,Medium,Yes,Low,6.5,33,10
19,Female,Education,India,Medium,No,Medium,7.1,41,7
36,Female,IT,Germany,High,Yes,Medium,6.2,30,4
36,Male,Education,India,Medium,Yes,Low,7.7,53,10
19,Prefer not to say,Healthcare,India,None,No,Medium,4.2,42,6
21,Non-binary,Sales,Canada,None,Yes,High,8.2,66,7
27,Non-binary,IT,India,None,Yes,Medium,7.7,80,9
26,Non-binary,Education,India,Low,No,High,8.3,37,5
56,Male,IT,USA,Low,No,Medium,5.0,70,5
59,Female,Education,Other,Low,No,Low,8.1,56,9
36,Female,Engineering,UK,None,Yes,High,9.8,33,0
32,Male,Other,Australia,Medium,Yes,High,6.8,75,4
53,Non-binary,Education,Other,Medium,No,Medium,7.4,66,9
38,Non-binary,Finance,USA,Medium,No,High,6.4,53,1
22,Female,Other,USA,None,Yes,High,6.2,62,4
29,Male,Sales,India,Medium,Yes,Low,4.5,45,9
26,Non-binary,Healthcare,Other,None,Yes,Low,8.5,66,2
48,Male,Other,UK,None,Yes,High,9.9,35,8
24,Male,Healthcare,India,High,No,Medium,8.7,61,6
32,Non-binary,Finance,Australia,None,Yes,Low,5.1,45,7
41,Non-binary,Education,Canada,High,No,Medium,6.3,52,7
25,Non-binary,IT,Australia,Low,No,High,6.9,71,1
28,Female,Other,Germany,Medium,No,Medium,9.6,71,2
58,Non-binary,Other,Canada,None,Yes,High,6.2,59,2
63,Male,Sales,Canada,None,Yes,Low,7.9,60,8
21,Female,Sales,Germany,None,No,Medium,8.4,34,9
56,Female,IT,UK,Low,No,Medium,8.1,44,8
38,Female,Healthcare,UK,Low,Yes,Low,5.0,44,0
23,Female,Education,India,Medium,No,High,5.9,47,5
36,Female,Finance,Germany,None,Yes,High,9.7,75,5
54,Prefer not to say,Education,Australia,None,Yes,High,6.9,30,8
35,Female,Education,Other,None,Yes,High,6.6,61,8
43,Female,Finance,India,Low,Yes,High,6.6,47,7
43,Prefer not to say,Healthcare,USA,None,Yes,Medium,8.0,42,8
52,Non-binary,Sales,Australia,None,Yes,Medium,6.7,63,6
63,Non-binary,Education,Australia,Medium,No,Medium,9.7,53,6
39,Non-binary,Sales,Australia,None,No,Medium,5.4,47,9
45,Non-binary,Other,Other,None,No,Low,7.5,59,8
44,Prefer not to say,Education,Other,High,Yes,High,5.3,67,3
44,Prefer not to say,Healthcare,USA,None,No,High,4.6,68,7
35,Male,Finance,UK,None,No,Medium,8.0,62,8
63,Female,Education,UK,Medium,Yes,Medium,4.3,65,10
46,Female,Healthcare,Germany,High,Yes,Medium,7.8,31,3
30,Male,Finance,Australia,None,No,Medium,5.8,35,9
26,Prefer not to say,Engineering,Germany,None,Yes,Low,5.4,54,2
47,Prefer not to say,Other,Other,Medium,No,High,9.3,66,9
61,Non-binary,Finance,Australia,Low,No,Low,6.8,66,5
57,Male,Education,Germany,None,Yes,High,8.8,45,7
43,Non-binary,Sales,Canada,None,No,Medium,8.0,66,7
25,Female,Other,USA,None,No,High,5.4,47,2
61,Prefer not to say,Education,India,High,Yes,High,6.6,76,3
26,Prefer not to say,Other,UK,Medium,Yes,Low,8.0,52,6
36,Prefer not to say,Engineering,Germany,None,No,High,5.5,64,5
29,Male,IT,Australia,Low,No,Low,7.0,70,4
43,Female,Other,Germany,None,No,High,9.3,40,4
25,Male,IT,UK,None,No,Low,6.7,33,9
43,Female,Other,India,High,No,Low,7.7,46,7
64,Non-binary,Finance,Australia,None,Yes,Low,4.8,76,7
48,Female,Healthcare,Other,High,Yes,High,7.5,35,2
62,Female,Sales,USA,Low,No,High,6.4,67,0
40,Non-binary,Sales,India,Medium,Yes,Medium,7.8,77,1
33,Non-binary,Sales,Australia,Low,No,High,4.2,70,8
28,Female,Education,Other,None,No,Low,9.6,45,3
20,Male,Engineering,UK,Medium,Yes,High,6.4,72,10
58,Male,Healthcare,Australia,None,No,High,8.7,67,5
27,Prefer not to say,Healthcare,USA,High,Yes,Low,9.6,52,3
38,Male,Healthcare,India,None,No,High,7.8,59,3
55,Male,Healthcare,Canada,Medium,No,Medium,8.9,67,6
62,Male,Other,India,None,No,Low,5.7,45,8
57,Prefer not to say,Other,USA,None,No,Medium,8.3,79,0
53,Prefer not to say,IT,Germany,None,No,High,9.6,72,6
63,Female,Healthcare,Canada,Low,No,Medium,6.3,72,3
21,Non-binary,Other,Canada,None,Yes,Low,8.9,73,9
36,Non-binary,Education,Other,Low,Yes,High,5.0,59,10
38,Male,Finance,USA,High,Yes,High,6.8,74,3
57,Prefer not to say,Engineering,Australia,Low,No,Medium,8.2,58,9
45,Female,Education,Germany,High,Yes,High,6.8,33,10
62,Non-binary,Engineering,Canada,High,Yes,Low,8.5,77,0
56,Prefer not to say,Finance,UK,High,Yes,Low,9.9,51,5
48,Non-binary,Finance,India,None,No,High,8.5,37,2
18,Female,Other,Germany,Medium,Yes,High,8.8,68,8
54,Male,Other,UK,None,No,High,5.6,65,9
56,Female,Education,Germany,Medium,Yes,High,5.5,69,9
47,Female,Finance,Germany,None,No,Low,9.6,38,8
57,Prefer not to say,Education,India,High,Yes,High,7.4,73,4
20,Non-binary,Finance,Australia,Low,No,High,8.9,35,6
65,Non-binary,Engineering,Australia,None,Yes,High,7.3,74,7
24,Male,Engineering,USA,Low,Yes,Medium,5.3,62,5
45,Prefer not to say,Education,Canada,None,No,Low,9.9,50,0
56,Male,Education,UK,High,No,High,5.8,59,3
31,Non-binary,Education,USA,Medium,Yes,Low,9.2,33,8
34,Male,Finance,UK,Low,Yes,Medium,9.2,37,6
23,Male,Finance,Australia,Medium,No,Low,9.6,74,1
47,Female,Other,Australia,None,No,Medium,9.7,48,10
63,Non-binary,Healthcare,Canada,None,No,Medium,9.4,61,7
26,Female,Other,Germany,High,No,High,4.5,58,0
65,Female,Sales,Australia,None,No,Medium,4.1,33,0
38,Male,Healthcare,Germany,None,Yes,High,4.3,79,5
60,Non-binary,IT,Germany,None,Yes,Low,9.9,38,9
36,Non-binary,Other,India,High,No,High,7.7,79,5
20,Prefer not to say,Healthcare,India,Medium,Yes,High,9.0,66,5
38,Non-binary,Sales,USA,Low,No,High,4.1,45,0
33,Non-binary,Engineering,India,Low,No,Low,9.1,50,8
37,Female,Other,USA,Low,No,Low,9.9,76,4
56,Prefer not to say,IT,Germany,None,No,High,9.0,50,1
33,Non-binary,Engineering,USA,None,No,High,9.8,51,5
65,Male,Education,Germany,None,No,Medium,8.1,58,0
55,Female,IT,USA,Medium,No,High,6.2,76,4
29,Prefer not to say,Engineering,USA,Medium,No,Medium,8.5,62,6
33,Male,Sales,USA,High,No,High,8.1,63,7
61,Male,Healthcare,Canada,Low,Yes,High,9.5,30,9
42,Prefer not to say,Healthcare,India,Medium,No,Medium,7.4,53,9
31,Female,Other,UK,None,No,High,8.9,73,10
25,Prefer not to say,Education,India,Low,Yes,Low,9.9,71,0
21,Female,Other,Australia,None,No,High,8.0,48,6
50,Male,Sales,Australia,Low,No,Low,8.1,61,2
29,Male,Other,USA,None,No,High,9.6,34,3
60,Female,Healthcare,Germany,None,No,High,5.7,43,9
59,Non-binary,Education,Canada,None,No,Medium,9.4,30,1
62,Female,Other,Germany,Low,No,Medium,7.3,75,8
47,Male,IT,India,Medium,No,Low,8.4,70,1
39,Male,Healthcare,Canada,Medium,Yes,High,8.4,73,2
23,Prefer not to say,Sales,USA,Low,Yes,Medium,7.5,72,3
26,Male,Healthcare,Australia,None,Yes,High,7.1,80,4
51,Male,IT,Other,Medium,No,Medium,6.2,63,8
53,Male,IT,Australia,None,Yes,Low,8.9,68,10
25,Female,Other,Germany,High,No,Low,8.6,62,3
31,Male,IT,India,None,No,Low,6.0,64,9
30,Prefer not to say,Education,Canada,None,No,Low,9.5,31,8
28,Female,Education,Germany,Low,Yes,High,6.5,43,2
21,Male,Education,Australia,None,Yes,Medium,5.9,43,3
56,Male,Healthcare,UK,Medium,No,Low,5.0,31,8
41,Prefer not to say,Healthcare,Germany,High,No,High,5.8,70,8
53,Non-binary,Healthcare,USA,None,Yes,High,9.7,70,3
26,Male,Other,USA,High,Yes,High,6.1,43,3
57,Non-binary,Education,India,None,Yes,Low,4.0,73,8
22,Prefer not to say,Finance,Canada,None,Yes,Low,9.0,64,7
62,Female,Sales,Australia,None,Yes,High,9.8,37,1
59,Non-binary,Education,Germany,None,No,Low,4.6,31,2
43,Male,Sales,Australia,None,No,Low,5.7,43,1
53,Male,Sales,Canada,None,Yes,Low,8.2,63,5
34,Female,Sales,USA,Low,Yes,Medium,4.4,75,2
61,Prefer not to say,Finance,Canada,None,Yes,Medium,9.1,74,0
26,Female,IT,Canada,None,No,Medium,9.7,73,5
56,Male,Other,India,None,Yes,High,5.6,36,2
47,Female,Engineering,Australia,Low,No,High,6.0,59,5
46,Non-binary,Healthcare,India,None,Yes,Low,6.9,59,10
23,Male,Engineering,USA,None,Yes,Medium,7.5,51,5
23,Female,Finance,Australia,None,No,High,6.9,71,6
61,Prefer not to say,Education,Canada,Low,Yes,Low,5.4,56,10
56,Prefer not to say,IT,Other,High,No,Medium,4.0,54,8
37,Male,Sales,India,Medium,Yes,Low,10.0,71,9
31,Female,Finance,UK,Low,No,Medium,8.7,50,2
30,Male,Other,Canada,Medium,No,Low,6.5,51,7
60,Non-binary,Engineering,USA,None,Yes,High,9.9,75,0
37,Female,Other,Germany,Low,No,Low,5.4,66,7
20,Non-binary,Engineering,India,None,Yes,Low,9.0,66,4
47,Male,Healthcare,Other,Low,Yes,Low,7.4,35,2
30,Female,Healthcare,Other,None,No,Medium,8.8,45,2
35,Female,Healthcare,Other,Low,No,Low,9.9,52,0
56,Non-binary,Finance,Germany,None,No,High,9.0,32,9
47,Non-binary,Other,Canada,Medium,Yes,Low,6.8,80,6
37,Male,Sales,UK,Medium,No,High,4.8,54,7
33,Non-binary,Sales,India,None,Yes,Low,8.1,33,3
35,Prefer not to say,Other,Canada,Medium,Yes,High,9.1,59,10
60,Non-binary,Other,Canada,Low,No,Medium,8.1,40,8
19,Prefer not to say,Finance,India,None,Yes,Medium,5.7,45,2
63,Female,Finance,Australia,Medium,No,Medium,6.5,77,3
43,Prefer not to say,Sales,UK,None,No,Low,6.0,33,1
38,Male,Engineering,India,High,Yes,Medium,7.7,30,6
26,Male,IT,Other,None,No,High,9.1,37,4
31,Prefer not to say,Sales,UK,None,Yes,Low,5.7,58,2
28,Male,Healthcare,Germany,None,Yes,High,9.6,71,5
44,Non-binary,Other,Canada,None,Yes,Low,8.5,63,2
56,Prefer not to say,Other,Germany,Low,No,High,4.4,62,9
19,Male,Finance,UK,None,No,High,8.5,40,1
42,Non-binary,Healthcare,UK,Medium,No,Low,9.5,74,4
21,Female,Education,UK,Low,No,High,6.2,73,0
64,Prefer not to say,IT,Germany,None,No,Medium,6.8,45,2
26,Prefer not to say,Engineering,USA,High,Yes,Low,4.5,37,5
40,Non-binary,Education,UK,None,No,Medium,8.7,73,1
32,Female,Healthcare,India,Low,Yes,Low,8.0,47,3
23,Prefer not to say,Education,USA,None,No,Medium,7.6,76,4
34,Non-binary,IT,USA,None,Yes,High,6.3,34,5
28,Prefer not to say,IT,Germany,Medium,No,Medium,7.7,56,0
54,Male,Finance,Australia,High,Yes,High,7.6,54,0
25,Prefer not to say,Finance,USA,None,No,Low,7.0,65,4
27,Non-binary,IT,Australia,None,Yes,High,6.3,80,2
19,Female,Engineering,Other,None,Yes,Medium,5.4,34,0
58,Female,IT,Other,High,No,High,8.2,49,2
39,Male,Education,Other,High,No,Medium,9.4,32,8
26,Non-binary,Healthcare,USA,Medium,No,Low,8.7,50,4
32,Male,Other,USA,None,Yes,Low,5.8,63,2
41,Male,Other,Australia,Low,Yes,High,5.5,63,3
46,Male,Sales,USA,None,No,High,7.1,56,6
48,Female,Sales,Other,Low,No,Medium,7.7,33,1
29,Female,Engineering,Canada,None,Yes,Low,9.9,76,10
64,Non-binary,Education,USA,Low,Yes,Low,8.6,78,7
53,Female,Engineering,USA,None,No,High,8.8,56,1
23,Prefer not to say,Sales,USA,Low,No,Medium,7.9,50,5
23,Non-binary,IT,India,None,Yes,Medium,8.9,79,1
29,Female,Finance,Canada,High,Yes,Medium,8.4,31,9
55,Female,Engineering,Germany,Low,Yes,Medium,6.1,44,10
65,Male,Other,UK,High,Yes,Medium,6.4,64,8
50,Female,Finance,UK,None,Yes,High,9.0,78,10
34,Non-binary,Engineering,UK,High,Yes,High,9.2,38,1
45,Prefer not to say,IT,UK,Low,Yes,Low,9.9,71,10
55,Female,Healthcare,India,None,No,High,8.2,79,0
25,Male,Education,Canada,Low,No,Medium,8.8,65,2
23,Female,Healthcare,Australia,Medium,Yes,Medium,5.6,52,5
45,Female,Finance,India,None,No,Low,5.1,55,7
23,Female,Finance,Other,None,No,Low,6.6,31,5
62,Prefer not to say,Healthcare,Canada,High,Yes,Medium,7.5,31,2
34,Female,Engineering,UK,None,No,High,8.5,41,9
46,Non-binary,Education,India,None,No,High,8.5,65,3
41,Prefer not to say,Finance,India,Medium,No,Low,8.7,46,9
30,Male,Engineering,UK,None,Yes,High,7.3,40,6
58,Non-binary,Healthcare,Germany,None,Yes,Medium,4.0,38,3
20,Female,IT,Germany,None,No,Medium,7.4,73,7
54,Non-binary,Education,Other,High,No,Medium,6.2,69,10
37,Non-binary,Other,Canada,Low,Yes,Low,5.0,61,2
23,Non-binary,Other,Canada,None,No,Low,6.0,80,9
32,Non-binary,Engineering,UK,None,No,Low,5.6,48,4
19,Non-binary,Sales,Other,None,Yes,Low,9.5,46,6
44,Prefer not to say,Healthcare,Australia,Medium,No,Low,8.2,31,10
25,Non-binary,Healthcare,Germany,Medium,Yes,Low,4.9,55,5
54,Prefer not to say,Education,India,Medium,Yes,High,9.8,67,2
37,Male,Sales,UK,Low,Yes,Medium,4.3,78,7
28,Prefer not to say,Finance,Other,Low,Yes,Low,7.7,48,5
22,Female,Healthcare,Canada,None,No,Medium,10.0,72,8
21,Non-binary,Other,Germany,None,No,High,9.2,47,1
27,Female,Healthcare,India,Low,No,High,7.6,53,1
50,Non-binary,Other,Canada,High,Yes,High,5.3,61,7
60,Prefer not to say,Finance,Australia,High,Yes,High,8.2,33,3
41,Female,Engineering,Germany,Low,Yes,Medium,9.7,49,6
65,Prefer not to say,Other,UK,None,No,Low,6.4,43,10
44,Male,Education,India,None,Yes,Low,4.9,47,0
38,Prefer not to say,Healthcare,India,None,No,Medium,6.6,64,5
53,Male,Finance,Germany,None,No,High,4.7,67,4
38,Female,Engineering,Australia,High,No,Medium,8.8,62,8
60,Non-binary,Education,India,None,No,Medium,8.9,39,10
47,Prefer not to say,Healthcare,Australia,None,Yes,High,6.7,58,10
40,Non-binary,Other,India,Medium,No,Medium,5.4,37,8
31,Non-binary,Engineering,Canada,Medium,No,Medium,8.3,53,3
35,Prefer not to say,Engineering,India,Medium,Yes,Low,8.8,51,9
53,Non-binary,Other,UK,None,No,High,5.5,49,4
24,Non-binary,Other,USA,None,Yes,Low,5.9,64,0
53,Prefer not to say,Engineering,UK,High,No,Low,9.7,39,9
26,Male,Engineering,UK,Medium,Yes,Low,8.3,40,1
25,Non-binary,Engineering,UK,None,No,High,9.8,67,3
24,Prefer not to say,Engineering,UK,High,No,Medium,8.4,78,9
62,Female,Other,Germany,None,Yes,Medium,8.1,71,0
47,Non-binary,Sales,Australia,Low,Yes,Medium,7.5,30,8
49,Non-binary,Healthcare,USA,Low,Yes,High,4.9,77,6
60,Prefer not to say,Finance,Germany,None,Yes,High,4.9,72,10
64,Male,Education,Canada,None,No,Medium,7.8,55,2
18,Male,Engineering,USA,Medium,Yes,Low,7.7,57,5
63,Male,Healthcare,Australia,High,No,Medium,5.1,52,1
42,Non-binary,Sales,USA,Medium,Yes,Low,5.3,45,7
22,Prefer not to say,Other,Other,Low,No,High,5.8,52,10
60,Prefer not to say,Finance,UK,Medium,Yes,Medium,5.2,52,6
33,Non-binary,Sales,Other,None,Yes,High,6.4,65,0
32,Female,Healthcare,USA,High,Yes,High,4.8,37,5
59,Non-binary,Finance,USA,Low,No,High,8.2,49,9
35,Male,Education,Canada,High,No,High,9.4,70,6
21,Female,Education,Germany,None,Yes,Medium,7.1,34,6
63,Male,IT,UK,None,Yes,Low,5.8,66,4
54,Female,Other,Germany,Low,Yes,Medium,6.1,34,8
60,Female,Other,Other,None,Yes,Low,7.5,77,0
38,Female,Education,Other,Medium,No,Medium,5.0,35,9
59,Female,Sales,Australia,None,Yes,Low,6.0,36,2
59,Male,Education,India,Low,No,High,9.0,31,9
54,Male,Sales,Other,Medium,Yes,Medium,6.4,57,4
28,Female,Other,USA,Medium,No,High,5.4,80,4
49,Non-binary,Finance,India,None,No,Low,6.0,68,5
36,Non-binary,Engineering,Other,None,No,Medium,7.6,79,7
65,Non-binary,Finance,USA,None,No,High,5.1,43,1
23,Prefer not to say,Engineering,India,None,Yes,Low,8.0,45,8
25,Male,Sales,UK,Medium,No,Medium,7.8,41,6
65,Male,Healthcare,Other,None,Yes,Low,7.2,40,7
46,Non-binary,Finance,India,Medium,Yes,Medium,9.5,45,1
32,Non-binary,Education,Australia,None,No,Low,6.9,53,3
24,Prefer not to say,Engineering,USA,Low,Yes,Medium,6.7,58,2
54,Non-binary,Other,Other,Low,Yes,Low,7.0,69,6
45,Prefer not to say,Education,India,High,Yes,Medium,4.1,69,6
52,Male,Finance,USA,None,Yes,High,6.9,50,1
39,Female,Education,USA,None,No,Medium,9.4,53,6
19,Non-binary,Education,Canada,None,Yes,Low,4.5,43,5
38,Female,Education,India,Medium,Yes,High,5.0,78,2
33,Non-binary,Other,UK,None,Yes,Medium,7.9,54,5
56,Prefer not to say,Finance,Other,None,Yes,High,9.9,62,8
20,Male,Healthcare,Australia,None,No,Medium,8.4,36,2
31,Male,IT,Germany,None,No,Medium,8.8,35,10
64,Female,Engineering,Germany,Medium,Yes,High,6.6,33,4
45,Female,Other,Australia,Medium,No,Medium,7.3,61,7
36,Female,Finance,India,None,No,Medium,4.9,57,1
25,Female,Sales,USA,None,No,High,9.4,45,4
41,Non-binary,Engineering,India,High,Yes,Low,8.1,37,5
52,Male,Education,Canada,High,No,High,9.9,36,5
47,Prefer not to say,Sales,Australia,Low,Yes,Medium,7.7,67,0
55,Non-binary,Education,USA,None,No,High,4.3,51,2
38,Female,Other,Germany,None,Yes,High,9.9,43,4
61,Female,Healthcare,Australia,Medium,No,Low,5.2,67,10
63,Prefer not to say,Education,India,None,No,Medium,9.2,80,4
53,Female,Education,USA,None,Yes,High,6.0,66,4
28,Prefer not to say,Healthcare,USA,Low,No,High,6.1,46,0
51,Non-binary,IT,Other,None,No,Medium,6.4,79,10
64,Prefer not to say,Engineering,Canada,None,No,Low,4.2,63,6
33,Non-binary,Education,USA,High,Yes,Low,5.6,55,4
55,Female,Healthcare,Germany,None,Yes,High,4.4,39,8
38,Female,Finance,Australia,None,No,Medium,7.8,32,8
54,Female,Finance,Germany,Low,Yes,Medium,7.0,38,10
60,Non-binary,Finance,UK,Low,No,High,6.0,49,7
62,Female,Engineering,Australia,High,Yes,Low,8.1,38,7
19,Male,Finance,Germany,None,Yes,High,9.6,55,4
42,Female,Engineering,USA,High,No,Low,5.8,74,8
64,Female,Healthcare,USA,Medium,Yes,Low,5.7,42,2
40,Prefer not to say,Engineering,USA,None,No,Low,4.5,76,7
43,Non-binary,Finance,Australia,High,Yes,Medium,4.6,72,7
49,Female,IT,India,Medium,No,Medium,4.6,50,3
34,Non-binary,Sales,USA,None,Yes,Low,4.2,40,3
48,Prefer not to say,Education,Australia,None,No,Medium,8.8,71,6
41,Male,IT,USA,High,Yes,Medium,6.5,78,1
19,Female,Engineering,India,Medium,No,Low,5.6,47,9
26,Male,Other,Canada,High,Yes,Medium,6.1,51,0
54,Prefer not to say,Engineering,Canada,None,No,High,9.4,47,6
48,Prefer not to say,Healthcare,Other,Low,No,High,4.6,59,4
28,Non-binary,Healthcare,Canada,High,Yes,High,7.2,66,8
20,Female,IT,Other,Low,No,Medium,4.4,72,8
29,Female,Finance,UK,None,Yes,High,9.6,63,3
51,Non-binary,Engineering,Other,None,Yes,High,8.2,62,5
64,Female,Finance,UK,Low,No,Medium,9.9,62,8
33,Female,Other,Other,None,Yes,High,9.5,41,3
27,Prefer not to say,IT,India,High,No,Low,9.6,48,2
44,Non-binary,Education,Australia,High,Yes,High,9.7,59,10
42,Prefer not to say,Healthcare,India,None,Yes,Low,8.6,58,9
22,Prefer not to say,Engineering,Germany,None,Yes,High,7.2,35,4
54,Non-binary,Healthcare,USA,None,No,High,8.2,79,10
61,Male,IT,Other,Low,Yes,Medium,5.6,73,9
42,Male,Engineering,Canada,None,No,Low,5.3,36,7
37,Male,IT,Canada,None,Yes,Medium,7.7,33,5
