Age,Gender,Occupation,Country,Mental_Health_Condition,Consultation_History,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours
63,Male,Sales,Canada,Yes,Yes,0,7.9,60,8
21,Female,Sales,Germany,Yes,No,0,8.4,34,9
56,Female,IT,UK,No,No,0,8.1,44,8
38,Female,Healthcare,UK,Yes,Yes,0,5.0,44,0
23,Female,Education,India,Yes,No,1,5.9,47,5
36,Female,Finance,Germany,Yes,Yes,1,9.7,75,5
35,Female,Education,Other,Yes,Yes,1,6.6,61,8
43,Female,Finance,India,Yes,Yes,1,6.6,47,7
52,Non-Binary,Sales,Australia,Yes,Yes,0,6.7,63,6
63,Non-Binary,Education,Australia,Yes,No,0,9.7,53,6
39,Non-Binary,Sales,Australia,No,No,0,5.4,47,9
45,Non-Binary,Other,Other,No,No,0,7.5,59,8
35,Male,Finance,UK,No,No,0,8.0,62,8
63,Female,Education,UK,Yes,Yes,0,4.3,65,10
46,Female,Healthcare,Germany,No,Yes,0,7.8,31,3
30,Male,Finance,Australia,No,No,0,5.8,35,9
61,Non-Binary,Finance,Australia,No,No,0,6.8,66,5
57,Male,Education,Germany,No,Yes,1,8.8,45,7
43,Non-Binary,Sales,Canada,No,No,0,8.0,66,7
25,Female,Other,USA,Yes,No,1,5.4,47,2
29,Male,IT,Australia,Yes,No,0,7.0,70,4
43,Female,Other,Germany,No,No,1,9.3,40,4
25,Male,IT,UK,No,No,0,6.7,33,9
43,Female,Other,India,Yes,No,0,7.7,46,7
64,Non-Binary,Finance,Australia,No,Yes,0,4.8,76,7
48,Female,Healthcare,Other,Yes,Yes,1,7.5,35,2
62,Female,Sales,USA,Yes,No,1,6.4,67,0
40,Non-Binary,Sales,India,Yes,Yes,0,7.8,77,1
33,Non-Binary,Sales,Australia,Yes,No,1,4.2,70,8
28,Female,Education,Other,No,No,0,9.6,45,3
20,Male,Engineering,UK,No,Yes,1,6.4,72,10
58,Male,Healthcare,Australia,No,No,1,8.7,67,5
38,Male,Healthcare,India,Yes,No,1,7.8,59,3
55,Male,Healthcare,Canada,No,No,0,8.9,67,6
62,Male,Other,India,No,No,0,5.7,45,8
63,Female,Healthcare,Canada,Yes,No,0,6.3,72,3
21,Non-Binary,Other,Canada,No,Yes,0,8.9,73,9
36,Non-Binary,Education,Other,Yes,Yes,1,5.0,59,10
38,Male,Finance,USA,No,Yes,1,6.8,74,3
45,Female,Education,Germany,Yes,Yes,1,6.8,33,10
62,Non-Binary,Engineering,Canada,Yes,Yes,0,8.5,77,0
48,Non-Binary,Finance,India,Yes,No,1,8.5,37,2
18,Female,Other,Germany,Yes,Yes,1,8.8,68,8
54,Male,Other,UK,No,No,1,5.6,65,9
56,Female,Education,Germany,Yes,Yes,1,5.5,69,9
47,Female,Finance,Germany,Yes,No,0,9.6,38,8
20,Non-Binary,Finance,Australia,Yes,No,1,8.9,35,6
65,Non-Binary,Engineering,Australia,Yes,Yes,1,7.3,74,7
24,Male,Engineering,USA,No,Yes,0,5.3,62,5
56,Male,Education,UK,Yes,No,1,5.8,59,3
31,Non-Binary,Education,USA,Yes,Yes,0,9.2,33,8
34,Male,Finance,UK,Yes,Yes,0,9.2,37,6
23,Male,Finance,Australia,Yes,No,0,9.6,74,1
47,Female,Other,Australia,Yes,No,0,9.7,48,10
63,Non-Binary,Healthcare,Canada,Yes,No,0,9.4,61,7
26,Female,Other,Germany,No,No,1,4.5,58,0
65,Female,Sales,Australia,Yes,No,0,4.1,33,0
38,Male,Healthcare,Germany,Yes,Yes,1,4.3,79,5
60,Non-Binary,IT,Germany,No,Yes,0,9.9,38,9
36,Non-Binary,Other,India,No,No,1,7.7,79,5
38,Non-Binary,Sales,USA,Yes,No,1,4.1,45,0
33,Non-Binary,Engineering,India,Yes,No,0,9.1,50,8
37,Female,Other,USA,No,No,0,9.9,76,4
33,Non-Binary,Engineering,USA,Yes,No,1,9.8,51,5
65,Male,Education,Germany,No,No,0,8.1,58,0
55,Female,IT,USA,Yes,No,1,6.2,76,4
33,Male,Sales,USA,Yes,No,1,8.1,63,7
61,Male,Healthcare,Canada,Yes,Yes,1,9.5,30,9
31,Female,Other,UK,No,No,1,8.9,73,10
21,Female,Other,Australia,No,No,1,8.0,48,6
50,Male,Sales,Australia,No,No,0,8.1,61,2
29,Male,Other,USA,No,No,1,9.6,34,3
60,Female,Healthcare,Germany,Yes,No,1,5.7,43,9
59,Non-Binary,Education,Canada,Yes,No,0,9.4,30,1
62,Female,Other,Germany,No,No,0,7.3,75,8
47,Male,IT,India,No,No,0,8.4,70,1
39,Male,Healthcare,Canada,No,Yes,1,8.4,73,2
26,Male,Healthcare,Australia,No,Yes,1,7.1,80,4
51,Male,IT,Other,No,No,0,6.2,63,8
53,Male,IT,Australia,No,Yes,0,8.9,68,10
25,Female,Other,Germany,No,No,0,8.6,62,3
31,Male,IT,India,No,No,0,6.0,64,9
28,Female,Education,Germany,No,Yes,1,6.5,43,2
21,Male,Education,Australia,No,Yes,0,5.9,43,3
56,Male,Healthcare,UK,No,No,0,5.0,31,8
53,Non-Binary,Healthcare,USA,Yes,Yes,1,9.7,70,3
26,Male,Other,USA,Yes,Yes,1,6.1,43,3
57,Non-Binary,Education,India,Yes,Yes,0,4.0,73,8
62,Female,Sales,Australia,Yes,Yes,1,9.8,37,1
59,Non-Binary,Education,Germany,Yes,No,0,4.6,31,2
43,Male,Sales,Australia,Yes,No,0,5.7,43,1
53,Male,Sales,Canada,Yes,Yes,0,8.2,63,5
34,Female,Sales,USA,Yes,Yes,0,4.4,75,2
26,Female,IT,Canada,Yes,No,0,9.7,73,5
56,Male,Other,India,Yes,Yes,1,5.6,36,2
47,Female,Engineering,Australia,No,No,1,6.0,59,5
46,Non-Binary,Healthcare,India,No,Yes,0,6.9,59,10
23,Male,Engineering,USA,Yes,Yes,0,7.5,51,5
23,Female,Finance,Australia,No,No,1,6.9,71,6
37,Male,Sales,India,Yes,Yes,0,10.0,71,9
31,Female,Finance,UK,Yes,No,0,8.7,50,2
30,Male,Other,Canada,Yes,No,0,6.5,51,7
60,Non-Binary,Engineering,USA,Yes,Yes,1,9.9,75,0
37,Female,Other,Germany,Yes,No,0,5.4,66,7
20,Non-Binary,Engineering,India,Yes,Yes,0,9.0,66,4
47,Male,Healthcare,Other,No,Yes,0,7.4,35,2
30,Female,Healthcare,Other,No,No,0,8.8,45,2
35,Female,Healthcare,Other,Yes,No,0,9.9,52,0
56,Non-Binary,Finance,Germany,Yes,No,1,9.0,32,9
47,Non-Binary,Other,Canada,No,Yes,0,6.8,80,6
37,Male,Sales,UK,No,No,1,4.8,54,7
33,Non-Binary,Sales,India,No,Yes,0,8.1,33,3
60,Non-Binary,Other,Canada,Yes,No,0,8.1,40,8
63,Female,Finance,Australia,Yes,No,0,6.5,77,3
38,Male,Engineering,India,No,Yes,0,7.7,30,6
26,Male,IT,Other,No,No,1,9.1,37,4
28,Male,Healthcare,Germany,No,Yes,1,9.6,71,5
44,Non-Binary,Other,Canada,No,Yes,0,8.5,63,2
19,Male,Finance,UK,No,No,1,8.5,40,1
42,Non-Binary,Healthcare,UK,No,No,0,9.5,74,4
21,Female,Education,UK,No,No,1,6.2,73,0
40,Non-Binary,Education,UK,Yes,No,0,8.7,73,1
32,Female,Healthcare,India,Yes,Yes,0,8.0,47,3
34,Non-Binary,IT,USA,Yes,Yes,1,6.3,34,5
54,Male,Finance,Australia,No,Yes,1,7.6,54,0
27,Non-Binary,IT,Australia,Yes,Yes,1,6.3,80,2
19,Female,Engineering,Other,No,Yes,0,5.4,34,0
58,Female,IT,Other,No,No,1,8.2,49,2
39,Male,Education,Other,Yes,No,0,9.4,32,8
26,Non-Binary,Healthcare,USA,Yes,No,0,8.7,50,4
32,Male,Other,USA,Yes,Yes,0,5.8,63,2
41,Male,Other,Australia,Yes,Yes,1,5.5,63,3
46,Male,Sales,USA,No,No,1,7.1,56,6
48,Female,Sales,Other,Yes,No,0,7.7,33,1
29,Female,Engineering,Canada,No,Yes,0,9.9,76,10
64,Non-Binary,Education,USA,No,Yes,0,8.6,78,7
53,Female,Engineering,USA,No,No,1,8.8,56,1
23,Non-Binary,IT,India,Yes,Yes,0,8.9,79,1
29,Female,Finance,Canada,No,Yes,0,8.4,31,9
55,Female,Engineering,Germany,No,Yes,0,6.1,44,10
65,Male,Other,UK,No,Yes,0,6.4,64,8
50,Female,Finance,UK,Yes,Yes,1,9.0,78,10
34,Non-Binary,Engineering,UK,No,Yes,1,9.2,38,1
55,Female,Healthcare,India,No,No,1,8.2,79,0
25,Male,Education,Canada,No,No,0,8.8,65,2
23,Female,Healthcare,Australia,No,Yes,0,5.6,52,5
45,Female,Finance,India,Yes,No,0,5.1,55,7
23,Female,Finance,Other,No,No,0,6.6,31,5
34,Female,Engineering,UK,Yes,No,1,8.5,41,9
46,Non-Binary,Education,India,No,No,1,8.5,65,3
30,Male,Engineering,UK,No,Yes,1,7.3,40,6
58,Non-Binary,Healthcare,Germany,No,Yes,0,4.0,38,3
20,Female,IT,Germany,No,No,0,7.4,73,7
54,Non-Binary,Education,Other,Yes,No,0,6.2,69,10
37,Non-Binary,Other,Canada,Yes,Yes,0,5.0,61,2
23,Non-Binary,Other,Canada,No,No,0,6.0,80,9
32,Non-Binary,Engineering,UK,Yes,No,0,5.6,48,4
19,Non-Binary,Sales,Other,No,Yes,0,9.5,46,6
25,Non-Binary,Healthcare,Germany,No,Yes,0,4.9,55,5
37,Male,Sales,UK,No,Yes,0,4.3,78,7
22,Female,Healthcare,Canada,Yes,No,0,10.0,72,8
21,Non-Binary,Other,Germany,Yes,No,1,9.2,47,1
27,Female,Healthcare,India,No,No,1,7.6,53,1
50,Non-Binary,Other,Canada,No,Yes,1,5.3,61,7
41,Female,Engineering,Germany,Yes,Yes,0,9.7,49,6
44,Male,Education,India,Yes,Yes,0,4.9,47,0
53,Male,Finance,Germany,No,No,1,4.7,67,4
38,Female,Engineering,Australia,No,No,0,8.8,62,8
60,Non-Binary,Education,India,Yes,No,0,8.9,39,10
40,Non-Binary,Other,India,Yes,No,0,5.4,37,8
31,Non-Binary,Engineering,Canada,No,No,0,8.3,53,3
53,Non-Binary,Other,UK,No,No,1,5.5,49,4
24,Non-Binary,Other,USA,Yes,Yes,0,5.9,64,0
26,Male,Engineering,UK,Yes,Yes,0,8.3,40,1
25,Non-Binary,Engineering,UK,No,No,1,9.8,67,3
62,Female,Other,Germany,Yes,Yes,0,8.1,71,0
47,Non-Binary,Sales,Australia,No,Yes,0,7.5,30,8
49,Non-Binary,Healthcare,USA,No,Yes,1,4.9,77,6
64,Male,Education,Canada,No,No,0,7.8,55,2
18,Male,Engineering,USA,Yes,Yes,0,7.7,57,5
63,Male,Healthcare,Australia,Yes,No,0,5.1,52,1
42,Non-Binary,Sales,USA,No,Yes,0,5.3,45,7
33,Non-Binary,Sales,Other,No,Yes,1,6.4,65,0
32,Female,Healthcare,USA,Yes,Yes,1,4.8,37,5
59,Non-Binary,Finance,USA,No,No,1,8.2,49,9
35,Male,Education,Canada,No,No,1,9.4,70,6
21,Female,Education,Germany,Yes,Yes,0,7.1,34,6
63,Male,IT,UK,Yes,Yes,0,5.8,66,4
54,Female,Other,Germany,Yes,Yes,0,6.1,34,8
60,Female,Other,Other,No,Yes,0,7.5,77,0
38,Female,Education,Other,Yes,No,0,5.0,35,9
59,Female,Sales,Australia,No,Yes,0,6.0,36,2
59,Male,Education,India,Yes,No,1,9.0,31,9
54,Male,Sales,Other,No,Yes,0,6.4,57,4
28,Female,Other,USA,Yes,No,1,5.4,80,4
49,Non-Binary,Finance,India,Yes,No,0,6.0,68,5
36,Non-Binary,Engineering,Other,Yes,No,0,7.6,79,7
65,Non-Binary,Finance,USA,Yes,No,1,5.1,43,1
25,Male,Sales,UK,No,No,0,7.8,41,6
65,Male,Healthcare,Other,No,Yes,0,7.2,40,7
46,Non-Binary,Finance,India,No,Yes,0,9.5,45,1
32,Non-Binary,Education,Australia,Yes,No,0,6.9,53,3
54,Non-Binary,Other,Other,No,Yes,0,7.0,69,6
52,Male,Finance,USA,No,Yes,1,6.9,50,1
39,Female,Education,USA,Yes,No,0,9.4,53,6
19,Non-Binary,Education,Canada,Yes,Yes,0,4.5,43,5
38,Female,Education,India,No,Yes,1,5.0,78,2
33,Non-Binary,Other,UK,Yes,Yes,0,7.9,54,5
20,Male,Healthcare,Australia,Yes,No,0,8.4,36,2
31,Male,IT,Germany,No,No,0,8.8,35,10
64,Female,Engineering,Germany,No,Yes,1,6.6,33,4
45,Female,Other,Australia,Yes,No,0,7.3,61,7
36,Female,Finance,India,Yes,No,0,4.9,57,1
25,Female,Sales,USA,No,No,1,9.4,45,4
41,Non-Binary,Engineering,India,No,Yes,0,8.1,37,5
52,Male,Education,Canada,No,No,1,9.9,36,5
55,Non-Binary,Education,USA,Yes,No,1,4.3,51,2
38,Female,Other,Germany,Yes,Yes,1,9.9,43,4
61,Female,Healthcare,Australia,No,No,0,5.2,67,10
53,Female,Education,USA,Yes,Yes,1,6.0,66,4
51,Non-Binary,IT,Other,No,No,0,6.4,79,10
33,Non-Binary,Education,USA,No,Yes,0,5.6,55,4
55,Female,Healthcare,Germany,Yes,Yes,1,4.4,39,8
38,Female,Finance,Australia,Yes,No,0,7.8,32,8
54,Female,Finance,Germany,Yes,Yes,0,7.0,38,10
60,Non-Binary,Finance,UK,No,No,1,6.0,49,7
62,Female,Engineering,Australia,Yes,Yes,0,8.1,38,7
19,Male,Finance,Germany,Yes,Yes,1,9.6,55,4
42,Female,Engineering,USA,Yes,No,0,5.8,74,8
64,Female,Healthcare,USA,Yes,Yes,0,5.7,42,2
43,Non-Binary,Finance,Australia,Yes,Yes,0,4.6,72,7
49,Female,IT,India,Yes,No,0,4.6,50,3
34,Non-Binary,Sales,USA,No,Yes,0,4.2,40,3
41,Male,IT,USA,No,Yes,0,6.5,78,1
19,Female,Engineering,India,No,No,0,5.6,47,9
26,Male,Other,Canada,No,Yes,0,6.1,51,0
28,Non-Binary,Healthcare,Canada,Yes,Yes,1,7.2,66,8
20,Female,IT,Other,Yes,No,0,4.4,72,8
29,Female,Finance,UK,No,Yes,1,9.6,63,3
51,Non-Binary,Engineering,Other,No,Yes,1,8.2,62,5
64,Female,Finance,UK,Yes,No,0,9.9,62,8
33,Female,Other,Other,No,Yes,1,9.5,41,3
44,Non-Binary,Education,Australia,No,Yes,1,9.7,59,10
54,Non-Binary,Healthcare,USA,No,No,1,8.2,79,10
61,Male,IT,Other,No,Yes,0,5.6,73,9
42,Male,Engineering,Canada,Yes,No,0,5.3,36,7
37,Male,IT,Canada,Yes,Yes,0,7.7,33,5
34,Non-Binary,Education,Australia,No,No,0,6.3,62,0
39,Non-Binary,Education,India,No,Yes,0,8.4,40,6
45,Female,Healthcare,Australia,No,Yes,0,7.5,57,2
21,Male,IT,Other,Yes,No,1,4.3,57,2
23,Male,Sales,Canada,Yes,Yes,0,4.5,41,8
52,Non-Binary,Healthcare,UK,Yes,Yes,1,4.5,76,4
52,Male,Engineering,Canada,Yes,No,1,6.0,63,6
20,Male,Healthcare,India,Yes,No,1,9.4,41,3
65,Male,Sales,Other,No,No,0,8.9,42,7
56,Non-Binary,Engineering,Canada,Yes,Yes,0,4.9,74,1
33,Non-Binary,Other,India,No,No,1,8.4,33,4
54,Male,Healthcare,Canada,Yes,No,0,6.7,38,4
40,Female,Engineering,UK,No,Yes,0,8.2,52,7
49,Male,IT,USA,Yes,No,1,4.6,70,10
63,Non-Binary,Finance,Other,No,Yes,0,4.8,65,2
37,Female,IT,UK,Yes,Yes,0,8.1,74,5
23,Female,Finance,Other,No,No,0,8.2,42,1
56,Male,IT,India,Yes,No,1,8.5,55,5
36,Female,IT,India,No,No,0,5.4,42,1
47,Female,Healthcare,UK,No,Yes,0,4.4,30,6
46,Female,Engineering,Other,No,Yes,0,6.6,75,3
58,Female,IT,Canada,Yes,Yes,0,8.7,65,2
43,Non-Binary,Sales,UK,No,Yes,0,9.7,65,2
34,Male,Other,Other,Yes,No,1,9.0,37,10
31,Male,Healthcare,Other,No,Yes,0,7.8,75,2
25,Non-Binary,Education,USA,Yes,Yes,0,4.6,59,9
64,Female,Finance,Germany,No,Yes,0,4.2,61,5
61,Male,Other,India,Yes,Yes,1,8.6,48,0
55,Non-Binary,Sales,Australia,Yes,Yes,1,6.4,50,3
34,Non-Binary,Education,UK,Yes,No,0,5.7,78,6
59,Female,IT,Other,No,Yes,0,7.4,40,3
46,Non-Binary,Engineering,Germany,Yes,No,1,7.7,67,3
28,Non-Binary,Education,USA,Yes,Yes,0,10.0,53,0
41,Non-Binary,IT,Australia,Yes,No,1,9.1,50,7
61,Female,IT,India,No,No,0,9.9,37,9
51,Non-Binary,Education,Australia,No,Yes,1,7.0,45,3
39,Female,Finance,UK,No,No,0,8.3,41,7
31,Female,Engineering,Other,Yes,Yes,0,4.8,49,6
43,Male,Sales,India,No,Yes,1,4.6,33,6
33,Male,Healthcare,UK,No,No,0,9.1,67,9
20,Female,Sales,Other,Yes,Yes,1,8.2,45,8
55,Male,IT,Australia,No,No,0,9.5,40,7
33,Non-Binary,IT,Germany,No,No,0,7.8,33,4
34,Female,Healthcare,India,Yes,Yes,1,8.1,42,2
35,Non-Binary,Engineering,Other,No,No,0,8.5,65,0
41,Non-Binary,Education,USA,Yes,Yes,1,9.9,43,6
21,Female,Education,Canada,Yes,Yes,1,6.1,50,3
34,Non-Binary,Other,Australia,Yes,No,0,8.8,78,7
62,Non-Binary,Engineering,USA,Yes,Yes,0,7.0,44,5
38,Female,Sales,Canada,Yes,Yes,1,7.7,34,1
45,Male,Engineering,Australia,No,No,1,5.9,36,10
18,Female,Education,Australia,Yes,No,0,9.3,77,1
53,Non-Binary,Other,Other,Yes,No,0,9.2,48,9
19,Non-Binary,Sales,Germany,Yes,Yes,0,7.5,40,7
44,Male,Sales,Germany,Yes,Yes,1,9.1,35,0
50,Non-Binary,Other,India,No,Yes,0,7.4,32,9
62,Male,Other,UK,No,Yes,1,5.5,56,9
58,Non-Binary,Healthcare,Australia,No,No,1,4.0,30,1
38,Non-Binary,Education,USA,No,No,0,5.2,58,9
42,Female,Other,Canada,No,No,0,4.7,40,4
54,Non-Binary,Other,USA,Yes,Yes,0,7.8,47,10
26,Female,Engineering,Canada,No,Yes,1,8.4,44,3
49,Female,Finance,USA,No,No,1,9.7,64,2
38,Female,Healthcare,USA,No,No,0,6.4,68,0
40,Non-Binary,IT,UK,No,Yes,0,8.2,67,9
52,Female,Education,Canada,Yes,No,0,7.9,57,2
56,Non-Binary,Finance,Canada,Yes,No,1,7.5,75,8
46,Non-Binary,Other,Germany,No,Yes,0,9.3,50,0
31,Male,Sales,Canada,No,No,1,4.5,37,6
33,Female,IT,Germany,No,Yes,0,9.7,73,10
42,Female,Finance,Australia,Yes,No,0,6.5,79,8
